,mask,class 0,class 1,class 2,class 3,class 4,class 5,class 6,class 7,class 8,class 9
0,TOULOUSE/COS9/TOULOUSE_0_mask.tif,596125,438503,1085267,1751,727852,617714,93942,542789,84155,6206
1,TOULOUSE/COS9/TOULOUSE_1_mask.tif,672395,115418,685463,651586,428692,1052016,224175,318613,5441,40505
2,TOULOUSE/COS9/TOULOUSE_2_mask.tif,554994,616691,859937,2578,592175,552474,453009,526188,32204,4054
3,TOULOUSE/COS9/TOULOUSE_3_mask.tif,939296,118294,617876,0,889595,810644,309139,503060,0,6400
4,TOULOUSE/COS9/TOULOUSE_4_mask.tif,982006,19522,397873,475,1180447,655471,213659,599511,136194,9146
5,TOULOUSE/COS9/TOULOUSE_5_mask.tif,795205,42129,734723,0,824417,615682,444805,728637,7581,1125
6,TOULOUSE/COS9/TOULOUSE_6_mask.tif,470166,58601,795298,664147,148479,1525334,26496,450415,53740,1628
7,TOULOUSE/COS9/TOULOUSE_7_mask.tif,625077,217570,890693,23064,667644,922466,215798,610607,20497,888
8,TOULOUSE/COS9/TOULOUSE_8_mask.tif,1002554,19903,911582,0,655760,953573,97731,527277,0,25924
9,TOULOUSE/COS9/TOULOUSE_9_mask.tif,1006325,6862,101439,40958,1432877,781315,134642,689444,0,442
10,ARCACHON/COS9/ARCACHON_0_mask.tif,41184,1526805,287226,378730,407,1928711,0,31241,0,0
11,ARCACHON/COS9/ARCACHON_1_mask.tif,94809,881350,66354,0,46619,3010269,0,92974,0,1929
12,ARCACHON/COS9/ARCACHON_2_mask.tif,327748,33005,71398,1586494,307092,1664953,15295,179210,0,9109
13,ARCACHON/COS9/ARCACHON_3_mask.tif,298,576533,1026897,0,0,2590576,0,0,0,0
14,ARCACHON/COS9/ARCACHON_4_mask.tif,531104,109366,244943,314643,639207,2086232,19371,237768,0,11670
15,ARCACHON/COS9/ARCACHON_5_mask.tif,278786,492781,421197,0,482959,2182824,44638,279663,0,11456
16,ARCACHON/COS9/ARCACHON_6_mask.tif,3132,430957,332500,0,232,3427483,0,0,0,0
17,ARCACHON/COS9/ARCACHON_7_mask.tif,693293,182009,208775,49594,1185734,1250258,139441,458245,19315,7640
18,ARCACHON/COS9/ARCACHON_8_mask.tif,531697,122586,740209,0,816103,1475628,29882,452728,0,25471
19,ARCACHON/COS9/ARCACHON_9_mask.tif,600891,184706,618361,162994,455725,1802089,37764,285129,36203,10442
